station,horizon,variant,comparison_class,r2,rmse_W,mae_W,skill,convex_weight_uxgb,n_eval
5,H16,"equal_average(uxgb,pers)",fair,0.807951,126.543161,96.730021,-1.8491,,2501
5,H16,[ORACLE] best_single per pair,oracle,0.932593,74.969537,44.09876,0.0,,2501
5,H16,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.928743,77.080831,51.503892,-0.057117,0.12,2501
5,H32,"proposed (manuscript, no test access)",fair,0.886014,97.453521,71.660259,-0.689519,,2500
5,H32,"equal_average(uxgb,pers)",fair,0.78615,133.483137,108.374144,-2.169719,,2500
5,H32,[ORACLE] best_single per pair,oracle,0.932533,74.974926,44.0924,0.0,,2500
5,H32,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.927989,77.458907,51.749197,-0.067359,0.11,2500
5,H96,"proposed (manuscript, no test access)",fair,0.893174,94.32822,67.915804,-0.602299,,2495
5,H96,"equal_average(uxgb,pers)",fair,0.673531,164.901673,135.38563,-3.896779,,2495
5,H96,[ORACLE] best_single per pair,oracle,0.93333,74.519476,43.881764,0.0,,2495
5,H96,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.929546,76.604932,49.757846,-0.056754,0.07,2495
6,H1,"proposed (manuscript, no test access)",fair,0.960822,68.932592,35.431787,0.380748,,2559
6,H1,"equal_average(uxgb,pers)",fair,0.954862,73.990365,42.465809,0.286542,,2559
6,H1,[ORACLE] best_single per pair,oracle,0.959109,70.423462,36.506638,0.353672,,2559
6,H1,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.959319,70.242343,35.842516,0.356993,0.86,2559
6,H4,"proposed (manuscript, no test access)",fair,0.945063,81.627501,52.634548,0.131658,,2559
6,H4,"equal_average(uxgb,pers)",fair,0.935031,88.767762,56.964744,-0.026901,,2559
6,H4,[ORACLE] best_single per pair,oracle,0.936733,87.597352,59.64255,0.0,,2559
6,H4,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.943126,83.053738,55.253389,0.101048,0.25,2559
6,H8,"proposed (manuscript, no test access)",fair,0.935016,88.777687,62.509714,-0.027131,,2559
6,H8,"equal_average(uxgb,pers)",fair,0.912626,102.942388,71.279104,-0.381041,,2559
6,H8,[ORACLE] best_single per pair,oracle,0.936733,87.597352,59.64255,0.0,,2559
6,H8,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.939047,85.980124,59.188325,0.036583,0.18,2559
6,H16,"proposed (manuscript, no test access)",fair,0.923209,96.484711,73.935888,-0.212757,,2558
6,H16,"equal_average(uxgb,pers)",fair,0.879033,121.097969,90.73859,-0.910427,,2558
6,H16,[ORACLE] best_single per pair,oracle,0.936681,87.613625,59.658243,0.0,,2558
6,H16,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.936138,87.988221,63.385985,-0.008569,0.14,2558
6,H32,"proposed (manuscript, no test access)",fair,0.922416,96.956993,73.441084,-0.224195,,2557
6,H32,"equal_average(uxgb,pers)",fair,0.869034,125.972046,96.276475,-1.066525,,2557
6,H32,[ORACLE] best_single per pair,oracle,0.936625,87.630212,59.675473,0.0,,2557
6,H32,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.937222,87.216232,62.272048,0.009426,0.1,2557
6,H96,"proposed (manuscript, no test access)",fair,0.926234,94.416017,70.383545,-0.158717,,2552
6,H96,"equal_average(uxgb,pers)",fair,0.815694,149.241083,117.45114,-1.895094,,2552
6,H96,[ORACLE] best_single per pair,oracle,0.936339,87.711603,59.759137,0.0,,2552
6,H96,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.937023,87.238695,60.920954,0.010754,0.05,2552
7,H1,"proposed (manuscript, no test access)",fair,0.888726,80.579766,45.897968,0.189521,,2409
7,H1,"equal_average(uxgb,pers)",fair,0.88602,81.553818,47.720208,0.169808,,2409
7,H1,[ORACLE] best_single per pair,oracle,0.890454,79.951576,45.637831,0.202108,,2409
7,H1,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.891116,79.709884,44.877893,0.206925,0.86,2409
7,H4,"proposed (manuscript, no test access)",fair,0.88104,83.316254,54.129574,0.133538,,2409
7,H4,"equal_average(uxgb,pers)",fair,0.876157,85.009144,55.336367,0.097969,,2409
7,H4,[ORACLE] best_single per pair,oracle,0.862706,89.506587,58.488467,0.0,,2409
7,H4,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.882118,82.937771,54.065549,0.141392,0.29,2409
7,H8,"proposed (manuscript, no test access)",fair,0.868529,87.587989,60.807406,0.042411,,2409
7,H8,"equal_average(uxgb,pers)",fair,0.867186,88.03405,60.476459,0.032633,,2409
7,H8,[ORACLE] best_single per pair,oracle,0.862706,89.506587,58.488467,0.0,,2409
7,H8,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.881087,83.299678,55.632249,0.133883,0.26,2409
7,H16,"proposed (manuscript, no test access)",fair,0.858799,90.784252,64.909227,-0.028752,,2408
7,H16,"equal_average(uxgb,pers)",fair,0.835876,97.876267,68.389809,-0.195761,,2408
7,H16,[ORACLE] best_single per pair,oracle,0.862745,89.506631,58.47563,0.0,,2408
7,H16,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.873098,86.065002,58.265124,0.075424,0.22,2408
7,H32,"proposed (manuscript, no test access)",fair,0.856749,91.429589,66.398676,-0.044578,,2407
