station,horizon,model,bias_W,rmse_W,mae_W,mae_rmse_ratio,residual_std_W,residual_skew,residual_kurtosis,residual_autocorr_lag1
6,H4,Proposed (FAME),-0.728023,107.745949,67.480917,0.626297,107.74349,-0.281995,7.172164,0.159893
6,H4,Unified XGBoost,4.362146,157.429068,104.685207,0.664967,157.368622,-0.083751,3.468733,0.673702
6,H4,Persistence,0.158923,115.022526,71.130451,0.618405,115.022416,-0.042189,8.6602,-0.007348
6,H8,Proposed (FAME),5.527466,112.830976,74.623269,0.661372,112.695502,-0.225267,6.371869,0.183066
6,H8,Unified XGBoost,7.905792,189.72731,135.851608,0.716036,189.562524,-0.052406,1.758602,0.769995
6,H8,Persistence,0.16126,115.033646,71.142046,0.618446,115.033533,-0.042246,8.657974,-0.00734
6,H16,Proposed (FAME),8.153644,117.279613,81.571288,0.695528,116.995836,-0.267333,5.746139,0.184192
6,H16,Unified XGBoost,12.148637,226.111293,170.955984,0.75607,225.784693,-0.031501,0.77717,0.819523
6,H16,Persistence,0.152183,115.043043,71.146843,0.618437,115.042943,-0.04202,8.65642,-0.007482
6,H32,Proposed (FAME),0.680667,118.09864,81.303768,0.688439,118.096679,-0.285831,5.91065,0.175992
6,H32,Unified XGBoost,8.853645,256.445101,197.664688,0.770788,256.292222,0.036275,0.559858,0.874745
6,H32,Persistence,0.112156,115.030158,71.134581,0.618399,115.030103,-0.042095,8.664197,-0.007486
6,H96,Proposed (FAME),14.901803,119.005336,81.763492,0.687057,118.068651,-0.390128,6.372987,0.147521
6,H96,Unified XGBoost,36.012914,316.782383,254.47694,0.803318,314.72869,-0.204973,-0.121022,0.911409
6,H96,Persistence,0.086024,115.037848,71.093746,0.618003,115.037815,-0.042735,8.67979,-0.007907
7,H1,Proposed (FAME),10.65379,111.042548,67.910739,0.611574,110.530286,-0.184254,5.306574,-0.155196
7,H1,Unified XGBoost,3.153246,110.861797,68.665705,0.619381,110.816944,-0.320062,4.816341,-0.09689
7,H1,Persistence,0.181832,121.297207,77.515211,0.639052,121.297071,0.020694,5.517438,-0.174476
7,H4,Proposed (FAME),6.990568,113.61428,74.509552,0.655812,113.399015,-0.095877,4.567177,-0.005267
7,H4,Unified XGBoost,-6.62397,151.385842,103.666035,0.68478,151.240854,-0.119327,2.381247,0.587518
7,H4,Persistence,0.181832,121.297207,77.515211,0.639052,121.297071,0.020694,5.517438,-0.174476
7,H8,Proposed (FAME),13.566547,115.269992,78.193573,0.678352,114.46886,-0.227999,4.569464,-0.017505
7,H8,Unified XGBoost,-16.020127,165.462675,118.686885,0.717303,164.685313,-0.364862,1.677406,0.669016
7,H8,Persistence,0.189163,121.308741,77.52401,0.639064,121.308593,0.020516,5.515963,-0.174488
7,H16,Proposed (FAME),17.961484,117.523209,80.979207,0.689049,116.142541,-0.189687,4.367286,-0.042569
7,H16,Unified XGBoost,13.595656,185.675715,137.404151,0.740022,185.177291,-0.042127,0.831252,0.738485
7,H16,Persistence,0.19339,121.320986,77.535919,0.639097,121.320832,0.020411,5.514292,-0.174497
7,H32,Proposed (FAME),3.43224,117.771216,81.619293,0.693033,117.721192,-0.23426,4.12862,-0.02243
7,H32,Unified XGBoost,25.808896,213.534378,169.495206,0.793761,211.96894,-0.008879,-0.049588,0.800558
7,H32,Persistence,0.203504,121.345171,77.558099,0.639153,121.345001,0.020161,5.511038,-0.17451
7,H96,Proposed (FAME),-2.897116,119.322492,81.226926,0.680734,119.287316,-0.328426,4.469371,-0.0498
7,H96,Unified XGBoost,23.50386,234.439134,190.640421,0.813177,233.257961,-0.237967,-0.144357,0.82943
7,H96,Persistence,0.192395,121.469865,77.696105,0.639633,121.469712,0.020412,5.493789,-0.174545
8,H1,Proposed (FAME),4.304102,38.150288,26.553602,0.696026,37.906716,0.579007,3.737016,0.079232
8,H1,Unified XGBoost,3.47331,36.16036,25.531618,0.706066,35.993163,0.060492,1.964254,-0.025505
8,H1,Persistence,0.142265,50.59771,38.770061,0.766241,50.59751,0.02468,0.900589,0.071896
8,H4,Proposed (FAME),6.556535,45.887965,33.902151,0.738803,45.417147,0.377086,2.496043,0.326391
8,H4,Unified XGBoost,8.457579,51.283016,37.97598,0.740518,50.580798,0.14847,1.571678,0.475057
8,H4,Persistence,0.142265,50.59771,38.770061,0.766241,50.59751,0.02468,0.900589,0.071896
8,H8,Proposed (FAME),4.277061,50.837192,39.142269,0.769953,50.656952,-0.271752,0.705565,0.31711
8,H8,Unified XGBoost,14.124178,74.449568,56.692267,0.761486,73.097508,-0.053785,1.083339,0.676159
8,H8,Persistence,0.133557,50.599077,38.769146,0.766203,50.5989,0.025074,0.900858,0.072247
8,H16,Proposed (FAME),3.956918,52.615125,40.864744,0.776673,52.466124,-0.308102,0.695072,0.246939
8,H16,Unified XGBoost,7.162461,118.249197,90.801578,0.767883,118.032079,-0.457901,0.768028,0.846322
8,H16,Persistence,0.152555,50.58656,38.758,0.766172,50.586329,0.025271,0.903066,0.073587
8,H32,Proposed (FAME),-0.819881,53.38423,41.818085,0.783342,53.377934,-0.269102,0.433147,0.244914
8,H32,Unified XGBoost,-20.086821,161.822971,124.873153,0.771665,160.571459,-0.33738,0.306223,0.916495
8,H32,Persistence,0.110531,50.537941,38.731565,0.766386,50.53782,0.020541,0.895954,0.073131
8,H96,Proposed (FAME),-0.900845,54.472937,42.528778,0.780732,54.465487,-0.337736,0.602282,0.268469
8,H96,Unified XGBoost,9.187003,213.442341,173.921518,0.814841,213.244535,-0.157103,-0.091877,0.933486
8,H96,Persistence,0.034226,50.515427,38.719401,0.766487,50.515415,0.019431,0.898139,0.073252
