station,horizon,regime,n,mean_irradiance_W,fame_rmse_W,fame_skill,unified_xgb_rmse_W,unified_xgb_skill,persistence_rmse_W,persistence_skill
7,H1,high,1606,694.513608,132.555286,0.216293,135.609774,0.179759,149.733928,0.0
7,H4,low,1606,101.340347,73.37108,-0.284015,120.769946,-2.478867,64.750025,0.0
7,H4,medium,1606,349.590285,122.543091,0.14318,147.155228,-0.235558,132.386639,0.0
7,H4,high,1606,694.513608,135.367977,0.182681,180.313555,-0.450161,149.733928,0.0
7,H8,low,1606,101.340347,76.66979,-0.402067,131.671674,-3.135279,64.750025,0.0
7,H8,medium,1605,349.493166,123.972036,0.123579,141.893235,-0.148124,132.424186,0.0
7,H8,high,1606,694.253168,136.438584,0.16971,211.324537,-0.991844,149.734622,0.0
7,H16,low,1606,101.340347,80.558648,-0.547906,183.486528,-7.030239,64.750025,0.0
7,H16,medium,1605,349.493166,127.57041,0.071963,174.319463,-0.732835,132.424186,0.0
7,H16,high,1605,694.097625,136.659323,0.16753,198.424634,-0.755016,149.780416,0.0
7,H32,low,1605,101.27545,77.943225,-0.450497,238.362305,-12.565478,64.717246,0.0
7,H32,medium,1604,349.209745,122.881592,0.13923,177.121069,-0.788355,132.447377,0.0
7,H32,high,1605,693.503419,142.954232,0.089515,220.439259,-1.164994,149.816814,0.0
7,H96,low,1602,101.080543,72.972395,-0.269958,254.941373,-14.500751,64.753604,0.0
7,H96,medium,1601,348.360982,121.101954,0.164718,169.256091,-0.631621,132.505724,0.0
7,H96,high,1601,690.911277,150.759692,-0.009232,266.900971,-2.163156,150.068601,0.0
8,H1,low,1653,82.495656,22.248349,0.386656,12.511125,0.806045,28.408342,0.0
8,H1,medium,1652,301.445817,33.348631,0.519689,31.062952,0.583272,48.119001,0.0
8,H1,high,1652,615.105327,52.533746,0.394646,52.933699,0.385393,67.520174,0.0
8,H4,low,1653,82.495656,31.673058,-0.243049,29.481225,-0.076959,28.408342,0.0
8,H4,medium,1652,301.445817,45.479778,0.106687,52.905145,-0.208823,48.119001,0.0
8,H4,high,1652,615.105327,56.975351,0.287956,64.983168,0.073736,67.520174,0.0
8,H8,low,1652,82.43974,32.400644,-0.301894,56.30723,-2.931848,28.396564,0.0
8,H8,medium,1652,301.287052,51.895167,-0.16451,83.615281,-2.023157,48.090058,0.0
8,H8,high,1652,614.958874,63.327325,0.120881,80.412655,-0.417472,67.540959,0.0
8,H16,low,1652,82.43974,32.288599,-0.292906,87.208782,-8.431676,28.396564,0.0
8,H16,medium,1651,301.204791,51.576368,-0.149568,120.676268,-5.293276,48.104253,0.0
8,H16,high,1652,614.75549,67.840352,-0.010062,140.644358,-3.341265,67.501613,0.0
8,H32,low,1651,82.383846,34.231563,-0.453015,127.397452,-19.125097,28.398261,0.0
8,H32,medium,1651,301.045912,52.195507,-0.177541,134.033133,-6.76487,48.099999,0.0
8,H32,high,1651,614.683113,68.216253,-0.024499,210.630079,-8.767345,67.395691,0.0
8,H96,low,1648,82.216292,35.019046,-0.521102,235.7002,-67.908013,28.393903,0.0
8,H96,medium,1647,300.781694,51.597684,-0.153697,139.770198,-7.465652,48.037941,0.0
8,H96,high,1648,614.828859,70.802986,-0.103854,248.126613,-12.556734,67.390054,0.0
