station,horizon,model,nominal_pct,empirical_pct,width_W_m2,calibration_error_pp,status,width_per_sigma,winkler_score_W,cwc,sigma_y_W,n_calibration,n_evaluation
4,H8,Proposed (FAME),9.000000e+01,9.533830e+01,206.5828,5.338300e+00,over-covered,8.389000e-01,247.9526,0.8389,246.2418,2424,2424
4,H8,Proposed (FAME),9.500000e+01,9.839110e+01,293.1332,3.391100e+00,over-covered,1.190400e+00,323.5213,1.1904,246.2418,2424,2424
4,H8,Unified XGBoost,9.000000e+01,9.443070e+01,420.7699,4.430700e+00,over-covered,1.708800e+00,520.1359,1.7088,246.2418,2424,2424
4,H8,Unified XGBoost,9.500000e+01,9.645210e+01,523.9957,1.452100e+00,over-covered,2.128000e+00,631.3878,2.128,246.2418,2424,2424
4,H8,Persistence,9.000000e+01,9.575080e+01,196.8,5.750800e+00,over-covered,7.992000e-01,237.4139,0.7992,246.2418,2424,2424
4,H8,Persistence,9.500000e+01,9.900990e+01,316.8,4.009900e+00,over-covered,1.286500e+00,342.564,1.2865,246.2418,2424,2424
4,H16,Proposed (FAME),9.000000e+01,9.509080e+01,205.7742,5.090800e+00,over-covered,8.356000e-01,247.6867,0.8356,246.265,2423,2424
4,H16,Proposed (FAME),9.500000e+01,9.859740e+01,299.5922,3.597400e+00,over-covered,1.216500e+00,329.2368,1.2165,246.265,2423,2424
4,H16,Unified XGBoost,9.000000e+01,9.253300e+01,563.9553,2.533000e+00,over-covered,2.290000e+00,672.6624,2.29,246.265,2423,2424
4,H16,Unified XGBoost,9.500000e+01,9.669970e+01,679.8775,1.699700e+00,over-covered,2.760800e+00,772.5711,2.7608,246.265,2423,2424
4,H16,Persistence,9.000000e+01,9.575080e+01,196.8,5.750800e+00,over-covered,7.991000e-01,237.4139,0.7991,246.265,2423,2424
4,H16,Persistence,9.500000e+01,9.900990e+01,316.8,4.009900e+00,over-covered,1.286400e+00,342.564,1.2864,246.265,2423,2424
4,H32,Proposed (FAME),9.000000e+01,9.574730e+01,215.1354,5.747300e+00,over-covered,8.734000e-01,250.9959,0.8734,246.3333,2422,2422
4,H32,Proposed (FAME),9.500000e+01,9.859620e+01,302.163,3.596200e+00,over-covered,1.226600e+00,326.5784,1.2266,246.3333,2422,2422
4,H32,Unified XGBoost,9.000000e+01,9.347650e+01,753.6803,3.476500e+00,over-covered,3.059600e+00,829.8403,3.0596,246.3333,2422,2422
4,H32,Unified XGBoost,9.500000e+01,9.772910e+01,895.1198,2.729100e+00,over-covered,3.633800e+00,934.3365,3.6338,246.3333,2422,2422
4,H32,Persistence,9.000000e+01,9.574730e+01,196.8,5.747300e+00,over-covered,7.989000e-01,237.4474,0.7989,246.3333,2422,2422
4,H32,Persistence,9.500000e+01,9.900910e+01,316.8,4.009100e+00,over-covered,1.286100e+00,342.5853,1.2861,246.3333,2422,2422
4,H96,Proposed (FAME),9.000000e+01,9.640200e+01,217.3034,6.402000e+00,over-covered,8.828000e-01,249.9808,0.8828,246.1516,2417,2418
4,H96,Proposed (FAME),9.500000e+01,9.888340e+01,308.6833,3.883400e+00,over-covered,1.254000e+00,333.16,1.254,246.1516,2417,2418
4,H96,Unified XGBoost,9.000000e+01,9.549210e+01,880.3649,5.492100e+00,over-covered,3.576500e+00,924.9126,3.5765,246.1516,2417,2418
4,H96,Unified XGBoost,9.500000e+01,9.884200e+01,1029.0041,3.842000e+00,over-covered,4.180400e+00,1042.2166,4.1804,246.1516,2417,2418
4,H96,Persistence,9.000000e+01,9.574030e+01,196.4,5.740300e+00,over-covered,7.979000e-01,237.285,0.7979,246.1516,2417,2418
4,H96,Persistence,9.500000e+01,9.892470e+01,312.8,3.924700e+00,over-covered,1.270800e+00,339.4518,1.2708,246.1516,2417,2418
5,H1,Proposed (FAME),9.000000e+01,9.604320e+01,342.5877,6.043200e+00,over-covered,1.145700e+00,407.6282,1.1457,299.0157,2502,2502
5,H1,Proposed (FAME),9.500000e+01,9.844120e+01,494.3771,3.441200e+00,over-covered,1.653300e+00,549.7375,1.6533,299.0157,2502,2502
5,H1,Unified XGBoost,9.000000e+01,9.604320e+01,341.5948,6.043200e+00,over-covered,1.142400e+00,413.8701,1.1424,299.0157,2502,2502
5,H1,Unified XGBoost,9.500000e+01,9.832130e+01,490.5698,3.321300e+00,over-covered,1.640600e+00,552.9344,1.6406,299.0157,2502,2502
5,H1,Persistence,9.000000e+01,9.632290e+01,340.0,6.322900e+00,over-covered,1.137100e+00,428.785,1.1371,299.0157,2502,2502
5,H1,Persistence,9.500000e+01,9.852120e+01,562.0,3.521200e+00,over-covered,1.879500e+00,629.53,1.8795,299.0157,2502,2502
5,H4,Proposed (FAME),9.000000e+01,9.536370e+01,345.642,5.363700e+00,over-covered,1.155900e+00,417.5272,1.1559,299.0157,2502,2502
5,H4,Proposed (FAME),9.500000e+01,9.864110e+01,513.3629,3.641100e+00,over-covered,1.716800e+00,562.9111,1.7168,299.0157,2502,2502
5,H4,Unified XGBoost,9.000000e+01,9.512390e+01,477.0729,5.123900e+00,over-covered,1.595500e+00,576.89,1.5955,299.0157,2502,2502
5,H4,Unified XGBoost,9.500000e+01,9.736210e+01,604.6191,2.362100e+00,over-covered,2.022000e+00,712.4036,2.022,299.0157,2502,2502
5,H4,Persistence,9.000000e+01,9.632290e+01,340.0,6.322900e+00,over-covered,1.137100e+00,428.785,1.1371,299.0157,2502,2502
5,H4,Persistence,9.500000e+01,9.852120e+01,562.0,3.521200e+00,over-covered,1.879500e+00,629.53,1.8795,299.0157,2502,2502
5,H8,Proposed (FAME),9.000000e+01,9.536370e+01,354.6173,5.363700e+00,over-covered,1.186300e+00,424.8566,1.1863,298.9273,2501,2502
5,H8,Proposed (FAME),9.500000e+01,9.824140e+01,504.9596,3.241400e+00,over-covered,1.689200e+00,565.9713,1.6892,298.9273,2501,2502
5,H8,Unified XGBoost,9.000000e+01,9.332530e+01,577.1984,3.325300e+00,over-covered,1.930900e+00,714.8575,1.9309,298.9273,2501,2502
5,H8,Unified XGBoost,9.500000e+01,9.676260e+01,737.7107,1.762600e+00,over-covered,2.467900e+00,856.4447,2.4679,298.9273,2501,2502
5,H8,Persistence,9.000000e+01,9.632290e+01,340.0,6.322900e+00,over-covered,1.137400e+00,428.785,1.1374,298.9273,2501,2502
5,H8,Persistence,9.500000e+01,9.852120e+01,562.0,3.521200e+00,over-covered,1.880100e+00,629.53,1.8801,298.9273,2501,2502
5,H16,Proposed (FAME),9.000000e+01,9.544180e+01,344.913,5.441800e+00,over-covered,1.154200e+00,418.5192,1.1542,298.8283,2501,2501
5,H16,Proposed (FAME),9.500000e+01,9.848060e+01,518.0543,3.480600e+00,over-covered,1.733600e+00,579.1766,1.7336,298.8283,2501,2501
5,H16,Unified XGBoost,9.000000e+01,9.056380e+01,790.4462,5.638000e-01,over-covered,2.645200e+00,980.3426,2.6452,298.8283,2501,2501
5,H16,Unified XGBoost,9.500000e+01,9.472210e+01,926.8086,-2.779000e-01,under-covered,3.101500e+00,1111.855,6.6653,298.8283,2501,2501
5,H16,Persistence,9.000000e+01,9.632150e+01,340.0,6.321500e+00,over-covered,1.137800e+00,428.8205,1.1378,298.8283,2501,2501
5,H16,Persistence,9.500000e+01,9.852060e+01,562.0,3.520600e+00,over-covered,1.880700e+00,629.557,1.8807,298.8283,2501,2501
5,H32,Proposed (FAME),9.000000e+01,9.428000e+01,348.4222,4.280000e+00,over-covered,1.166800e+00,430.329,1.1668,298.6082,2500,2500
5,H32,Proposed (FAME),9.500000e+01,9.848000e+01,538.4245,3.480000e+00,over-covered,1.803100e+00,598.0665,1.8031,298.6082,2500,2500
5,H32,Unified XGBoost,9.000000e+01,9.160000e+01,814.9418,1.600000e+00,over-covered,2.729100e+00,946.6909,2.7291,298.6082,2500,2500
5,H32,Unified XGBoost,9.500000e+01,9.684000e+01,971.5434,1.840000e+00,over-covered,3.253600e+00,1063.4265,3.2536,298.6082,2500,2500
5,H32,Persistence,9.000000e+01,9.632000e+01,340.0,6.320000e+00,over-covered,1.138600e+00,428.856,1.1386,298.6082,2500,2500
